idcliente;idusuario;tipo_comprobante;serie_comprobante;num_comprobante;fecha_hora;impuesto;total;estado;created_at;updated_at;requerimiento;descripcion_req;tiempo_inst_softw;idarticulo;cantidad;precio;descuento;fecha_proceso_proveedor;fecha_proceso_almacen;fecha_proceso_inst_softw;fecha_entrega;fecha_entrega_real;estado_entrega;dia_rand;hora_rand;dia_format_cero;observacion;prob_obs
311;235;FACTURA;000001;000001;2020-11-24 9:10:35;0.18;se hallara en el sitema;Registrado;2020-11-24 9:10:35;2020-11-24 9:10:35;;;;14;1;columna descartada ya que se obtiene con el idarticulo;0.00;;columna descartada;realizar en el controlador;realizar en el controlador;1;Entregado; 24 ; 9:10:35 ;24;Producto defectuoso;1
284;234;BOLETA;000002;000002;2020-11-23 17:28:52;0.18;;Registrado;2020-11-23 17:28:52;2020-11-23 17:28:52;;;;13;1;;0.00;;si;;;3;Entregado; 23 ; 17:28:52 ;23;;4
315;235;FACTURA;000003;000003;2020-11-05 20:29:30;0.18;;Registrado;2020-11-05 20:29:30;2020-11-05 20:29:30;;;;22;1;;0.00;;si;;;2;Entregado; 5 ; 20:29:30 ;05;;6
274;235;FACTURA;000004;000004;2020-11-02 16:55:53;0.18;;Registrado;2020-11-02 16:55:53;2020-11-02 16:55:53;;;;14;8;;0.00;si;si;;;1;Entregado; 2 ; 16:55:53 ;02;Producto defectuoso;1
348;234;FACTURA;000005;000005;2020-11-25 20:22:12;0.18;;Registrado;2020-11-25 20:22:12;2020-11-25 20:22:12;;;;21;14;;0.00;;si;;;3;Entregado; 25 ; 20:22:12 ;25;;4
319;234;FACTURA;000006;000006;2020-11-25 17:54:43;0.18;;Registrado;2020-11-25 17:54:43;2020-11-25 17:54:43;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;10;9;;0.00;;si;;;3;Entregado; 25 ; 17:54:43 ;25;;2
302;234;FACTURA;000007;000007;2020-11-02 15:31:12;0.18;;Registrado;2020-11-02 15:31:12;2020-11-02 15:31:12;;;;12;9;;0.00;;si;;;8;Entregado; 2 ; 15:31:12 ;02;;8
287;234;BOLETA;000008;000008;2020-11-27 9:55:30;0.18;;Registrado;2020-11-27 9:55:30;2020-11-27 9:55:30;;;;17;9;;0.00;si;si;;;7;Entregado; 27 ; 9:55:30 ;27;;4
308;235;FACTURA;000009;000009;2020-11-10 11:51:53;0.18;;Registrado;2020-11-10 11:51:53;2020-11-10 11:51:53;;;;13;15;;0.00;;si;;;9;Entregado; 10 ; 11:51:53 ;10;;2
296;235;FACTURA;000010;000010;2020-11-21 9:10:29;0.18;;Registrado;2020-11-21 9:10:29;2020-11-21 9:10:29;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;10;8;;0.00;;si;;;6;Entregado; 21 ; 9:10:29 ;21;;5
273;235;BOLETA;000011;000011;2020-11-02 12:44:24;0.18;;Registrado;2020-11-02 12:44:24;2020-11-02 12:44:24;;;;12;7;;0.00;;si;;;9;Entregado; 2 ; 12:44:24 ;02;;5
283;235;BOLETA;000012;000012;2020-11-26 10:28:38;0.18;;Registrado;2020-11-26 10:28:38;2020-11-26 10:28:38;;;;22;14;;0.00;;si;;;5;Entregado; 26 ; 10:28:38 ;26;;4
269;234;FACTURA;000013;000013;2020-11-24 12:43:36;0.18;;Registrado;2020-11-24 12:43:36;2020-11-24 12:43:36;;;;25;11;;0.00;si;si;;;7;Entregado; 24 ; 12:43:36 ;24;;6
326;234;FACTURA;000014;000014;2020-11-10 11:27:18;0.18;;Registrado;2020-11-10 11:27:18;2020-11-10 11:27:18;;;;15;14;;0.00;;si;;;3;Entregado; 10 ; 11:27:18 ;10;;8
282;234;FACTURA;000015;000015;2020-11-20 11:52:47;0.18;;Registrado;2020-11-20 11:52:47;2020-11-20 11:52:47;;;;24;13;;0.00;;si;;;9;Entregado; 20 ; 11:52:47 ;20;;4
318;234;BOLETA;000016;000016;2020-11-29 20:51:57;0.18;;Registrado;2020-11-29 20:51:57;2020-11-29 20:51:57;;;;14;15;;0.00;;si;;;7;Entregado; 29 ; 20:51:57 ;29;;6
333;234;BOLETA;000017;000017;2020-11-13 17:22:16;0.18;;Registrado;2020-11-13 17:22:16;2020-11-13 17:22:16;;;;28;1;;0.00;;si;;;3;Entregado; 13 ; 17:22:16 ;13;;2
318;235;FACTURA;000018;000018;2020-11-29 20:13:42;0.18;;Registrado;2020-11-29 20:13:42;2020-11-29 20:13:42;;;;26;10;;0.00;;si;;;4;Entregado; 29 ; 20:13:42 ;29;Producto dañado;1
337;235;BOLETA;000019;000019;2020-11-14 13:21:57;0.18;;Registrado;2020-11-14 13:21:57;2020-11-14 13:21:57;;;;25;1;;0.00;;si;;;4;Entregado; 14 ; 13:21:57 ;14;;6
345;235;BOLETA;000020;000020;2020-11-06 22:29:54;0.18;;Registrado;2020-11-06 22:29:54;2020-11-06 22:29:54;;;;26;11;;0.00;;si;;;7;Entregado; 6 ; 22:29:54 ;06;;4
324;234;FACTURA;000021;000021;2020-11-09 16:42:21;0.18;;Registrado;2020-11-09 16:42:21;2020-11-09 16:42:21;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;8;9;;0.00;si;si;;;2;Entregado; 9 ; 16:42:21 ;09;;4
316;234;FACTURA;000022;000022;2020-11-26 21:18:50;0.18;;Registrado;2020-11-26 21:18:50;2020-11-26 21:18:50;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;8;14;;0.00;;si;;;8;Entregado; 26 ; 21:18:50 ;26;;6
300;235;BOLETA;000023;000023;2020-11-24 11:58:38;0.18;;Registrado;2020-11-24 11:58:38;2020-11-24 11:58:38;;;;24;7;;0.00;;si;;;1;Entregado; 24 ; 11:58:38 ;24;;8
330;235;FACTURA;000024;000024;2020-11-24 14:44:44;0.18;;Registrado;2020-11-24 14:44:44;2020-11-24 14:44:44;;;;18;7;;0.00;;si;;;7;Entregado; 24 ; 14:44:44 ;24;;5
306;234;BOLETA;000025;000025;2020-11-23 12:16:49;0.18;;Registrado;2020-11-23 12:16:49;2020-11-23 12:16:49;;;;22;8;;0.00;;si;;;8;Entregado; 23 ; 12:16:49 ;23;;2
274;234;FACTURA;000026;000026;2020-11-18 12:13:43;0.18;;Registrado;2020-11-18 12:13:43;2020-11-18 12:13:43;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;10;12;;0.00;;si;;;8;Entregado; 18 ; 12:13:43 ;18;Producto defectuoso;1
319;235;BOLETA;000027;000027;2020-11-25 9:43:20;0.18;;Registrado;2020-11-25 9:43:20;2020-11-25 9:43:20;;;;24;13;;0.00;;si;;;3;Entregado; 25 ; 9:43:20 ;25;;8
333;234;FACTURA;000028;000028;2020-11-02 16:15:59;0.18;;Registrado;2020-11-02 16:15:59;2020-11-02 16:15:59;;;;18;4;;0.00;;si;;;4;Entregado; 2 ; 16:15:59 ;02;Producto defectuoso;1
278;235;BOLETA;000029;000029;2020-11-06 11:40:23;0.18;;Registrado;2020-11-06 11:40:23;2020-11-06 11:40:23;;;;22;3;;0.00;;si;;;8;Entregado; 6 ; 11:40:23 ;06;;8
268;235;BOLETA;000030;000030;2020-11-02 16:55:28;0.18;;Registrado;2020-11-02 16:55:28;2020-11-02 16:55:28;;;;22;2;;0.00;;si;;;5;Entregado; 2 ; 16:55:28 ;02;;6
278;234;FACTURA;000031;000031;2020-11-05 14:16:49;0.18;;Registrado;2020-11-05 14:16:49;2020-11-05 14:16:49;;;;19;1;;0.00;;si;;;5;Entregado; 5 ; 14:16:49 ;05;;2
278;235;FACTURA;000032;000032;2020-11-27 16:19:59;0.18;;Registrado;2020-11-27 16:19:59;2020-11-27 16:19:59;;;;19;12;;0.00;;si;;;4;Entregado; 27 ; 16:19:59 ;27;;8
340;234;BOLETA;000033;000033;2020-11-14 21:24:10;0.18;;Registrado;2020-11-14 21:24:10;2020-11-14 21:24:10;;;;29;3;;0.00;;si;;;1;Entregado; 14 ; 21:24:10 ;14;;2
333;234;FACTURA;000034;000034;2020-11-08 12:15:28;0.18;;Registrado;2020-11-08 12:15:28;2020-11-08 12:15:28;;;;14;13;;0.00;;si;;;7;Entregado; 8 ; 12:15:28 ;08;Producto dañado;1
281;234;BOLETA;000035;000035;2020-11-21 12:24:47;0.18;;Registrado;2020-11-21 12:24:47;2020-11-21 12:24:47;;;;21;15;;0.00;;si;;;1;Entregado; 21 ; 12:24:47 ;21;;2
320;235;FACTURA;000036;000036;2020-11-14 20:42:49;0.18;;Registrado;2020-11-14 20:42:49;2020-11-14 20:42:49;;;;17;6;;0.00;si;si;;;6;Entregado; 14 ; 20:42:49 ;14;Producto defectuoso;1
280;234;BOLETA;000037;000037;2020-11-10 10:18:18;0.18;;Registrado;2020-11-10 10:18:18;2020-11-10 10:18:18;;;;27;7;;0.00;si;si;;;6;Entregado; 10 ; 10:18:18 ;10;Producto dañado;1
309;234;BOLETA;000038;000038;2020-11-16 21:44:15;0.18;;Registrado;2020-11-16 21:44:15;2020-11-16 21:44:15;;;;16;15;;0.00;;si;;;7;Entregado; 16 ; 21:44:15 ;16;Producto defectuoso;1
319;235;BOLETA;000039;000039;2020-11-03 10:42:20;0.18;;Registrado;2020-11-03 10:42:20;2020-11-03 10:42:20;;;;24;13;;0.00;;si;;;6;Entregado; 3 ; 10:42:20 ;03;;3
